סמל יישוב,שם יישוב,NAME OF LOCALITY,צורת יישוב,אוכלוסיית המדד 2021[1],ערך מדד 2021[2],דירוג 2021[3] , אשכול 2021[4], אשכול 2019[4]
CODE OF LOCALITY,,,TYPE OF LOCALITY,INDEX POPULATION 2021[1],INDEX VALUE 2021[2],RANK 2021[3] , CLUSTER 2021[4] , CLUSTER 2019[4]
539,רומאנה,Rummane,450,"1,262",-1.424,29,2,2
528,עוזייר,Uzeir,290,"3,431",-1.410,30,2,2
997,רומת הייב,Rumat Heib,290,"2,152",-1.154,49,2,2
993,חמאם,Hamam,450,"1,558",-0.804,81,3,3
1346,תרבין א-צאנע (יישוב),Tarabin As-Sani,450,"1,234",-3.506,1,1,1
1360,סעוה,Sa'Wa,290,"2,145",-2.815,5,1,1
1358,אום בטין,Umm Batin,290,"4,697",-2.609,6,1,1
1343,מכחול,Makchul,450,"1,123",-2.535,7,1,1
1359,אל סייד,Al Sayyid,280,"6,281",-2.068,15,1,1
1367,כחלה,Kochlea,450,455,-1.160,48,2,2
1349,דריג'את,Derig'at,450,"1,307",-0.988,64,3,2
360,"גבעת ניל""י",Giv'at Nili,310,715,1.020,673,7,7
679,אביאל,Avi'el,310,820,1.159,735,8,8
773,עמיקם,Ammiqam,310,739,1.392,836,8,8
1366,נווה,Nave,310,"1,325",-1.280,40,2,2
399,בארי,Be'eri,330,"1,047",-0.951,67,3,3
1363,בני נצרים,Bne Netsarim,310,902,-0.554,118,4,4
413,צאלים,Ze'elim,330,470,-0.415,137,4,5
1085,כרם שלום,Kerem Shalom,330,194,-0.127,190,5,5
1239,חולית,Holit,330,202,-0.097,197,5,7
1364,שלומית,Shlomit,370,443,-0.015,221,5,5
695,מגן,Magen,330,537,0.035,230,5,5
403,אורים,Urim,330,504,0.077,240,6,6
69,ניר עוז,Nir Oz,330,393,0.140,254,6,6
1311,אבשלום,Avshalom,370,345,0.221,285,6,6
713,רעים,Re'im,330,433,0.264,310,6,5
352,גבולות,Gevulot,330,399,0.385,360,7,7
402,ניר יצחק,Nir Yizhaq,330,649,0.393,365,7,6
676,עין השלושה,En HaShelosha,330,296,0.419,380,7,6
1136,צוחר,Zohar,350,475,0.564,444,7,7
1051,תלמי אליהו,Talme Eliyyahu,310,321,0.586,449,7,7
840,כיסופים,Kissufim,330,292,0.669,495,7,6
1241,דקל,Deqel,310,381,0.683,504,7,7
602,נירים,Nirim,330,407,0.730,525,7,7
829,מבטחים,Mivtahim,310,463,0.753,543,7,7
1231,פרי גן,Peri Gan,310,252,0.795,562,7,7
1238,סופה,Sufa,330,227,0.906,620,7,7
1227,יתד,Yated,310,563,0.911,624,7,8
1046,אוהד,Ohad,310,413,1.032,679,7,7
1223,שדי אברהם,Sede Avraham,310,367,1.209,762,8,8
1232,יבול,Yevul,310,352,1.216,766,8,8
916,ישע,Yesha,310,429,1.321,806,8,9
1237,תלמי יוסף,Talme Yosef,310,339,1.363,822,8,8
1240,עין הבשור,En HaBesor,310,"1,114",1.371,828,8,9
318,עמיעוז,Ammi'oz,310,208,1.388,834,8,8
1058,שדה ניצן,Sede Nizzan,310,387,1.655,915,9,9
2006,כנות,Kannot,340,441,-1.930,19,2,1
